7fe26019-f275-3471-8fef-2c8a6d2f6f95	1987	1	-1	0	-1	0	Portland	United States	4	True	2012-01-01	True	2012-10-01	True	False	274	Founder,founder	OVERSIGHT	LiftFive	LiftFive			False	greater new york city area		False		False				1538818023000
7fe26019-f275-3471-8fef-2c8a6d2f6f95	1987	1	-1	0	-1	0	Portland	United States	4	True	2012-10-01	True	2016-11-01	True	False	1492	VP Product,vice president		RebelMouse	rebelmouse		UNITED STATES	False	greater new york city area	519130	False		False				1538818023000
7fe26019-f275-3471-8fef-2c8a6d2f6f95	1987	1	-1	0	-1	0	Portland	United States	4	True	2016-01-01	False	2017-01-01	False	False	366	Advisor,advisor		Nextt Ideas	Nextt Ideas			False			False		False				1538818023000
7fe26019-f275-3471-8fef-2c8a6d2f6f95	1987	1	-1	0	-1	0	Portland	United States	4	True	2016-11-01	True	None	False	True	799	Vice President of Product,vice president		Octane AI	Octane AI			False			False		False				1538818023000
3095f7eb-b536-39ca-8bd4-949a290deed9	1997	2	Web Development	0.8742232213827815	Software Engineering	0.07584324185725858		United States	4	False	None	False	None	False	True		Bachelor of Science (B.S.),Bachelor of Science,B.S.		San Jose State University	San Jose State University	UNIVERSITY	UNITED STATES	False			True	4	False				1497024570000
3095f7eb-b536-39ca-8bd4-949a290deed9	1997	2	Web Development	0.8742232213827815	Software Engineering	0.07584324185725858		United States	4	False	2015-01-01	True	2015-05-01	True	False	120	?		Sandia National Laboratories	sandia national		UNITED STATES	False	sandia national laboratories	92	False		False				1497024570000
3095f7eb-b536-39ca-8bd4-949a290deed9	1997	2	Web Development	0.8742232213827815	Software Engineering	0.07584324185725858		United States	4	False	2017-06-01	True	2017-08-01	True	False	61	?		Western Digital	Western Digital	WDC	XNAS	True	milpitas, ca	334112	False		False			BBG000BWNFZ9	1497024570000
3095f7eb-b536-39ca-8bd4-949a290deed9	1997	2	Web Development	0.8742232213827815	Software Engineering	0.07584324185725858		United States	4	False	2018-06-01	True	None	False	True	222	?		Western Digital	Western Digital	WDC	XNAS	True	milpitas, california	334112	False		False			BBG000BWNFZ9	1497024570000
4ce9f6ff-ac3d-3247-839a-0faa60423951	1982	2	-1	0	-1	0	San Francisco	United States	5	False	2004-01-01	False	2008-01-01	False	False	1461	"""bachelor, computer science"",bachelor,computer science"		Huazhong University of Science and Technology	Huazhong University of Science and Technology	UNIVERSITY	UNITED STATES	False			True	4	False	computer science	Engineering		1538818897000
4ce9f6ff-ac3d-3247-839a-0faa60423951	1982	2	-1	0	-1	0	San Francisco	United States	5	False	2008-01-01	False	2010-01-01	False	False	731	"""master, computer science"",master,computer science"		Michigan Technological University	Michigan Technological University	UNIVERSITY	UNITED STATES	False			True	5	False	computer science	Engineering		1538818897000
4ce9f6ff-ac3d-3247-839a-0faa60423951	1982	2	-1	0	-1	0	San Francisco	United States	5	False	2010-06-01	True	2011-01-01	True	False	214	Software development engineer,software	TECHNOLOGY	Link-quest	Link-quest			False	greater san diego area		False		False				1538818897000
4ce9f6ff-ac3d-3247-839a-0faa60423951	1982	2	-1	0	-1	0	San Francisco	United States	5	False	2011-01-01	True	None	False	True	2930	software development engineer	TECHNOLOGY	Ask.com	ask.com		UNITED STATES	False		519130	False		False				1538818897000
c0dd00b0-ffa7-33bd-acf9-0bcb1ce5e750	1985	2	-1	0	-1	0	San Francisco	United States	4	False	2005-01-01	False	2009-01-01	False	False	1461			College Park High School	College Park High School			False			True		False				1539037384000
c0dd00b0-ffa7-33bd-acf9-0bcb1ce5e750	1985	2	-1	0	-1	0	San Francisco	United States	4	False	2008-03-01	True	2010-12-01	True	False	1005	Cook/Barista		Bubble & Crepe	Bubble & Crepe			False	pleasant hill, california		False		False				1539037384000
